address,location/lat,location/lng
"2 Beverly Terrace Cape Elizabeth, ME 04107",43.6380596,-70.2385615
"12 Beverly Terrace Cape Elizabeth, ME 04107",43.61951,-70.2510373
"10 Beverly Terrace Cape Elizabeth, ME 04107",43.6380199,-70.2388883
"4 Beverly Terrace Cape Elizabeth, ME 04107",43.6380217,-70.2389487
"14 Beverly Terrace Cape Elizabeth, ME 04107",43.6193369,-70.2509778
"6 Beverly Terrace Cape Elizabeth, ME 04107",43.6380326,-70.2388215
"3 Bigelow Way Cape Elizabeth, ME 04107",43.5807841,-70.2110558
"3 Birch Knolls Cape Elizabeth, ME 04107",43.6273578,-70.2172571
"13 Birch Knolls Cape Elizabeth, ME 04107",43.6283162,-70.217523
"15 Birch Knolls Cape Elizabeth, ME 04107",43.6281456,-70.217908
"9 Birch Knolls Cape Elizabeth, ME 04107",43.6278648,-70.2171515
"12 Birch Knolls Cape Elizabeth, ME 04107",43.627893,-70.21821690000000
"17 Birch Knolls Cape Elizabeth, ME 04107",43.6280971,-70.2183955
"2 Birch Knolls Cape Elizabeth, ME 04107",43.6275433,-70.218111
"1 Birch Knolls Cape Elizabeth, ME 04107",43.6273203,-70.2177667
"11 Birch Knolls Cape Elizabeth, ME 04107",43.6280322,-70.2173801
"4 Birch Knolls Cape Elizabeth, ME 04107",43.62781410000000,-70.21758680000000
"7 Birch Knolls Cape Elizabeth, ME 04107",43.6277565,-70.2169132
"5 Birch Knolls Cape Elizabeth, ME 04107",43.6277207,-70.2167731
"10 Birch Knolls Cape Elizabeth, ME 04107",43.62789740000000,-70.21788840000000
"7 Birchwood Road Cape Elizabeth, ME 04107",43.63185500000000,-70.22616240000000
"1 Birchwood Road Cape Elizabeth, ME 04107",43.63207390000000,-70.2262567
"11 Blueberry Road Cape Elizabeth, ME 04107",43.6332991,-70.2331272
"3 Blueberry Road Cape Elizabeth, ME 04107",43.63209920000000,-70.2341584
"8 Blueberry Road Cape Elizabeth, ME 04107",43.6328,-70.2340585
"5 Blueberry Road Cape Elizabeth, ME 04107",43.632323,-70.2339054
"10 Blueberry Road Cape Elizabeth, ME 04107",43.6329967,-70.233851
